id_jugador;nombre;orden;equipo;pais_iso_3
43;Carlos Daniel Salom;4;Cienciano;PER
43;Carlos Daniel Salom;5;Barracas Central.;ARG
43;Carlos Daniel Salom;6;Olimpo de Bahía Blanca;ARG
43;Carlos Daniel Salom;7;All Boys;ARG
43;Carlos Daniel Salom;8;Concepción;CHL
43;Carlos Daniel Salom;9;Union Española;CHL
43;Carlos Daniel Salom;10;Puebla;MEX
43;Carlos Daniel Salom;11;Bangkok United;THA
43;Carlos Daniel Salom;12;Chennaiyin FC;IND
44;Fabricio Esteban Ortiz;0;Velez;ARG
44;Fabricio Esteban Ortiz;1;Misano;ITA
44;Fabricio Esteban Ortiz;2;Aprendices Casildenses;ARG
44;Fabricio Esteban Ortiz;3;Alumni de Casilda;ARG
44;Fabricio Esteban Ortiz;4;Jacksonville Armada;USA
44;Fabricio Esteban Ortiz;5;Fort Lauderdale Strickers II;USA
44;Fabricio Esteban Ortiz;6;Union Deportiva Casilda;ARG
44;Fabricio Esteban Ortiz;7;Shabab Al Aqaba;JOR
44;Fabricio Esteban Ortiz;8;Gokulam Kerala;IND
45;Matias Jesus Cordoba;0;Argentinos Juniors;ARG
45;Matias Jesus Cordoba;1;Arsenal;ARG
45;Matias Jesus Cordoba;2;Argentinos Juniors;ARG
45;Matias Jesus Cordoba;3;Tigre;ARG
45;Matias Jesus Cordoba;4;Real Salt Lake;USA
45;Matias Jesus Cordoba;5;Argentinos Juniors;ARG
45;Matias Jesus Cordoba;6;Quilmes;ARG
45;Matias Jesus Cordoba;7;Monagas;VEN
45;Matias Jesus Cordoba;8;San Martin de Tucuman;ARG
45;Matias Jesus Cordoba;9;Atlante;MEX
45;Matias Jesus Cordoba;10;La Serena;CHL
45;Matias Jesus Cordoba;11;Perth Glory;AUS
45;Matias Jesus Cordoba;12;Oriente Petrolero;BOL
45;Matias Jesus Cordoba;13;Naval;CHL
45;Matias Jesus Cordoba;14;Alianza;SLV
45;Matias Jesus Cordoba;15;Penang;MWI
45;Matias Jesus Cordoba;16;Barito Putera;IDN
46;Matías Conti;0;Vélez;ARG
46;Matías Conti;1;Deportivo Merlo;ARG
46;Matías Conti;2;Tristán Suárez;ARG
46;Matías Conti;3;Pahang;MWI
46;Matías Conti;4;Universidad de Concepcion;CHL
46;Matías Conti;5;Estudiantes de San Luis;ARG
46;Matías Conti;6;Borneo FC Samarinda;IDN
47;Robertino Pugliara;0;San Lorenzo;ARG
47;Robertino Pugliara;1;Talleres de Córdoba;ARG
47;Robertino Pugliara;2;Persija Jakarta;IND
47;Robertino Pugliara;3;Persiba Balikpapan;IND
47;Robertino Pugliara;4;Persija Jakarta;IND
47;Robertino Pugliara;5;PSM Makassar;IND
47;Robertino Pugliara;6;Persipura Jayapura;IND
47;Robertino Pugliara;7;Persib Bandung;IND
47;Robertino Pugliara;8;Persipura Jayupara;IND
47;Robertino Pugliara;9;Pune City;IND
47;Robertino Pugliara;10;Persebaya Surubaya;IDN
48;Jonatan Jesus Bauman;0;Colon de Santa Fe;ARG
48;Jonatan Jesus Bauman;1;Patronato;ARG
48;Jonatan Jesus Bauman;2;Deportivo Armenio;ARG
48;Jonatan Jesus Bauman;3;Santiago Morning;CHL
48;Jonatan Jesus Bauman;4;Gimnasia Jujuy;ARG
48;Jonatan Jesus Bauman;5;Tiro Federal de Rosario;ARG
48;Jonatan Jesus Bauman;6;Instituto;ARG
48;Jonatan Jesus Bauman;7;Union Sunchales;ARG
48;Jonatan Jesus Bauman;8;Guillermo Brown de Puerto Madryn;ARG
48;Jonatan Jesus Bauman;9;Kerkyra;GRC
48;Jonatan Jesus Bauman;10;Persib Bandung;IDN
49;Esteban Gabriel Vizcarra;0;Lanús;ARG
49;Esteban Gabriel Vizcarra;1;Huracán;ARG
49;Esteban Gabriel Vizcarra;2;Huracán de Tres Arroyos;ARG
49;Esteban Gabriel Vizcarra;3;Douglas Haig;ARG
49;Esteban Gabriel Vizcarra;4;Pelita Jaya;IND
49;Esteban Gabriel Vizcarra;5;Persib;IND
49;Esteban Gabriel Vizcarra;6;PS Semen Padang;IND
49;Esteban Gabriel Vizcarra;7;Arema Crommus;IND
49;Esteban Gabriel Vizcarra;8;Srivijaya FC;IDN
50;Ezequiel Naim Ham;0;Argentinos Juniors;ARG
50;Ezequiel Naim Ham;1;FC Gifu;JPN
51;Joaquín Oscar Larrivey;0;Huracán;ARG
51;Joaquín Oscar Larrivey;1;Cagliari;ITA
51;Joaquín Oscar Larrivey;2;Vélez;ARG
51;Joaquín Oscar Larrivey;3;Cagliari;ITA
51;Joaquín Oscar Larrivey;4;Colón de Santa Fe;ARG
51;Joaquín Oscar Larrivey;5;Cagliari;ITA
51;Joaquín Oscar Larrivey;6;Atlante;MEX
51;Joaquín Oscar Larrivey;7;Rayo Vallecano;ESP
51;Joaquín Oscar Larrivey;8;Celta de Vigo;ESP
51;Joaquín Oscar Larrivey;9;Bani Yas;ARE
51;Joaquín Oscar Larrivey;10;JEF United Chiba;JPN
52;Diego Matias Rodriguez;0;Independiente;ARG
52;Diego Matias Rodriguez;1;Rosario Central;ARG
52;Diego Matias Rodriguez;2;JEF United Chiba;JPN
53;Nicolás Di Biase;0;Boca;ARG
53;Nicolás Di Biase;1;Langreo;ESP
53;Nicolás Di Biase;2;Los Llanos;ESP
53;Nicolás Di Biase;3;Castel Di Sangro;ITA
53;Nicolás Di Biase;4;San Telmo;ARG
53;Nicolás Di Biase;5;Puertollano;ESP
53;Nicolás Di Biase;6;Zamora;ESP
53;Nicolás Di Biase;7;Conquense;ESP
53;Nicolás Di Biase;8;Lucena;ESP
53;Nicolás Di Biase;9;Blooming;BOL
53;Nicolás Di Biase;10;FC Edmonton;CAN
53;Nicolás Di Biase;11;Al Yarmouk;KWT
54;Lucas Matías Galán;0;Godoy Cruz;ARG
54;Lucas Matías Galán;1;Leopoldo Murialdo;ARG
54;Lucas Matías Galán;2;Racing;ARG
54;Lucas Matías Galán;3;Godoy Cruz;ARG
54;Lucas Matías Galán;4;Gimnasia de Mendoza;ARG
54;Lucas Matías Galán;5;Alianza de San Juan;ARG
54;Lucas Matías Galán;6;Peñarol de San Juan;ARG
54;Lucas Matías Galán;7;Coatepeque;GUF
54;Lucas Matías Galán;8;Kallithea;GRC
54;Lucas Matías Galán;9;Salam Zgharta;LBN
54;Lucas Matías Galán;10;Al Ansar;LBN
54;Lucas Matías Galán;11;Al Ta´ee;SAU
54;Lucas Matías Galán;12;Platense;ARG
54;Lucas Matías Galán;13;Al Shabab Al Arabi Beirut;LBN
55;Gonzalo Gabriel Cabrera;0;Boca;ARG
55;Gonzalo Gabriel Cabrera;1;Doxa;CYP
55;Gonzalo Gabriel Cabrera;2;AEK Larnaca;CYP
55;Gonzalo Gabriel Cabrera;3;Godoy Cruz;ARG
55;Gonzalo Gabriel Cabrera;4;Once Caldas;COL
55;Gonzalo Gabriel Cabrera;5;Godoy Cruz;ARG
55;Gonzalo Gabriel Cabrera;6;Defensa y Justicia;ARG
55;Gonzalo Gabriel Cabrera;7;Al Faisaly;SAU
55;Gonzalo Gabriel Cabrera;8;Johor Darul Takzim;MYS
56;Fernando Andres Marquez;0;Union de Santa Fe;ARG
56;Fernando Andres Marquez;1;Crucero del Norte;ARG
56;Fernando Andres Marquez;2;Belgrano de Cordoba;ARG
56;Fernando Andres Marquez;3;Defensa y Justicia;ARG
56;Fernando Andres Marquez;4;Johor Darul Takzim;MYS
57;Nicolás Leandro Vélez;0;Huracán;ARG
57;Nicolás Leandro Vélez;1;Atlético Sanluqueño;ESP
57;Nicolás Leandro Vélez;2;Warriors;SGP
57;Nicolás Leandro Vélez;3;North East United;IND
57;Nicolás Leandro Vélez;4;Hajduk Split;HRV
57;Nicolás Leandro Vélez;5;North East United;IND
57;Nicolás Leandro Vélez;6;Suphanburi;THA
57;Nicolás Leandro Vélez;7;Negeri Sembilan;MYS
58;Nicolás Alberto Fernández;0;Banfield;ARG
58;Nicolás Alberto Fernández;1;Lanús;ARG
58;Nicolás Alberto Fernández;2;Deportivo Norte;ARG
58;Nicolás Alberto Fernández;3;Aldosivi;ARG
58;Nicolás Alberto Fernández;4;Olimpo de Bahia Blanca;ARG
58;Nicolás Alberto Fernández;5;Mallorca B;ESP
58;Nicolás Alberto Fernández;6;Jumilla;ESP
58;Nicolás Alberto Fernández;7;Pinatar;ESP
58;Nicolás Alberto Fernández;8;Lorca;ESP
58;Nicolás Alberto Fernández;9;La Hoya Lorca;ESP
58;Nicolás Alberto Fernández;10;Asteras Tripolis;GRC
58;Nicolás Alberto Fernández;11;Johor II;MYS
59;Gaston Costas;0;El Porvenir;ARG
59;Gaston Costas;1;Social Madariaga;ARG
59;Gaston Costas;2;Textafabrica;MOZ
59;Gaston Costas;3;Al Salam;OMN
60;Jonathan Diego Menendez;0;Chacarita;ARG
60;Jonathan Diego Menendez;1;Sevilla C;ESP
60;Jonathan Diego Menendez;2;Chacarita;ARG
60;Jonathan Diego Menendez;3;Talleres de Cordoba;ARG
60;Jonathan Diego Menendez;4;Independiente;ARG
60;Jonathan Diego Menendez;5;Al Rayyan;QAT
61;Claudio Luciano Vázquez;0;Independiente;ARG
61;Claudio Luciano Vázquez;1;Huracán;ARG
61;Claudio Luciano Vázquez;2;Tembetary;PRY
61;Claudio Luciano Vázquez;3;La Plata FC;ARG
61;Claudio Luciano Vázquez;4;Huracán de Tres Arroyos;ARG
61;Claudio Luciano Vázquez;5;Rivadavia de Lincoln.;ARG
61;Claudio Luciano Vázquez;6;Alumni de Villa María;ARG
61;Claudio Luciano Vázquez;7;Central Córdoba de Santiago del Estero;ARG
61;Claudio Luciano Vázquez;8;Villa Mitre;ARG
61;Claudio Luciano Vázquez;9;Cipolletti;ARG
61;Claudio Luciano Vázquez;10;Racing de Olavarria;ARG
61;Claudio Luciano Vázquez;11;Flandria;ARG
61;Claudio Luciano Vázquez;12;Ñublense;CHL
61;Claudio Luciano Vázquez;13;Al Shahaniya;QAT
61;Claudio Luciano Vázquez;14;Huacipato;CHL
61;Claudio Luciano Vázquez;15;Termperley;ARG
61;Claudio Luciano Vázquez;16;Al Shahaniya;QAT
62;Ulises Jesus Pascua;0;Social Moquehua;ARG
62;Ulises Jesus Pascua;1;Al Shahaniya;QAT
62;Ulises Jesus Pascua;2;Al Rayyan;QAT
62;Ulises Jesus Pascua;3;Al Shahaniya;QAT
62;Ulises Jesus Pascua;4;Al Wakrah;QAT
63;Lucas Daniel Echenique;0;Arsenal;ARG
63;Lucas Daniel Echenique;1;Comunicaciones;ARG
63;Lucas Daniel Echenique;2;Sriracha;THA
63;Lucas Daniel Echenique;3;Army United;THA
63;Lucas Daniel Echenique;4;Samut Songkram;THA
63;Lucas Daniel Echenique;5;Sisaket;THA
63;Lucas Daniel Echenique;6;TTM Chiangmai;THA
63;Lucas Daniel Echenique;7;Look Phor Khun;THA
63;Lucas Daniel Echenique;8;Kabinburi;THA
63;Lucas Daniel Echenique;9;Liga 25 de Mayo;ARG
63;Lucas Daniel Echenique;10;MOF Custom United;THA
63;Lucas Daniel Echenique;11;Rajpracha;THA
64;Mario Alejandro Costas;0;Ferro;ARG
64;Mario Alejandro Costas;1;Sportivo Italiano;ARG
64;Mario Alejandro Costas;2;Estudiantes de Buenos Aires;ARG
64;Mario Alejandro Costas;3;Deportivo Moron;ARG
64;Mario Alejandro Costas;4;Independiente Rivadavia;ARG
64;Mario Alejandro Costas;5;Temperley;ARG
64;Mario Alejandro Costas;6;Deportivo Merlo;ARG
64;Mario Alejandro Costas;7;Luis Angel Firpo;SLV
64;Mario Alejandro Costas;8;America de Cali;COL
64;Mario Alejandro Costas;9;Alvarado;ARG
64;Mario Alejandro Costas;10;PSMS Medan;IND
64;Mario Alejandro Costas;11;Gimnasia de Concepcion del Uruguay;ARG
64;Mario Alejandro Costas;12;Pro Duta;IND
64;Mario Alejandro Costas;13;Persela Lamognan;IND
64;Mario Alejandro Costas;14;Mitre de Santiago del Estero;ARG
64;Mario Alejandro Costas;15;Persela Lamognan;IND
64;Mario Alejandro Costas;16;Persija Jakarta;IND
64;Mario Alejandro Costas;17;PSM Makasar;IND
64;Mario Alejandro Costas;18;;ARG
64;Mario Alejandro Costas;19;AS Ponte Leste;TLS
65;Nicolas Ezequiel Altamira;0;Juventud Catolica de Rio Segundo;ARG
65;Nicolas Ezequiel Altamira;1;Assalam;TLS
66;Ramiro Nelson Maggi;0;Juventud Catolica de Rio Segundo;ARG
66;Ramiro Nelson Maggi;1;Assalam;TLS
67;Sebastian Gaston Merlo;0;Talleres de Cordoba;ARG
67;Sebastian Gaston Merlo;1;Deportivo Moto Kart;ARG
67;Sebastian Gaston Merlo;2;Ferro de Intendente Alvear;ARG
67;Sebastian Gaston Merlo;3;Da Nang;VNM
67;Sebastian Gaston Merlo;4;Ferro de General Pico;ARG
67;Sebastian Gaston Merlo;5;Da Nang;VNM
68;Franco Nestor Calero;0;Newell´s;ARG
68;Franco Nestor Calero;1;Durango;URY
68;Franco Nestor Calero;2;Argentino de Rosario;ARG
68;Franco Nestor Calero;3;Estudiantes de Rio IV;ARG
68;Franco Nestor Calero;4;Sariñena;ESP
68;Franco Nestor Calero;5;Robres;ESP
68;Franco Nestor Calero;6;Alfonso Ugarte;PER
68;Franco Nestor Calero;7;Comercial;BRA
68;Franco Nestor Calero;8;ADIUR;ARG
