id_jugador;confederacion;pais;pais_iso_3;categoria;liga;equipo;nombre;ciudad_nacimiento;fecha_nacimiento;puesto;trayectoria
39;AFC;CHINA;CHN;1;Super League;Jiangsu Suning;Gabriel Alejandro Paletta;Longchamps, Buenos Aires ;15/02/1986;DEF;['Banfield (ARG)', 'Liverpool (ENG)', 'Boca (ARG)', 'Parma (ITA)', 'Milan (ITA)', 'Atalanta (ITA)', 'Milan (ITA)', 'Jiangsu Suning (CHN)']
40;AFC;EMIRATOS ARABES UNIDOS;ARE;1;Arabian Gulf League;Al Wahda;Sebastián Lucas Tagliabúe;Olivos, Buenos Aires ;22/02/1985;DEL;['Colegiales (ARG)', 'Everton (CHL)', 'Deportes La Serena (CHL)', 'Once Caldas (COL)', 'Al Ittifaq (ASM)', 'Al Shabab (ASM)', 'Al Wahda (ARE)']
41;AFC;EMIRATOS ARABES UNIDOS;ARE;1;Arabian Gulf League;FC Shabab Al Ahly;Mauro Alberto Diaz;Concepcion del Uruguay, Entre Rios ;03/10/1991;DEL;['River (ARG)', 'Union Española (CHL)', 'FC Dallas (USA)', 'FC Shabab Al Ahly (ARE)']
42;AFC;EMIRATOS ARABES UNIDOS;ARE;1;Arabian Gulf League;FC Shabab Al Ahly;Emiliano Gabriel Vecchio;Rosario, Santa Fe ;16/11/1988;VOL;['Rosario Central (ARG)', 'Fuenlabrada (ESP)', 'Rayo Majadahonda (ESP)', 'Gremio Prudente (BRA)', 'Defensores de Belgrano de Villa Ramallo (ARG)', 'Unión Española (CHL)', 'Colo Colo (CHL)', 'Qatar Sprot Club (QAT)', 'Santos (BRA)', 'FC Shabab Al Ahly (ARE)']
43;AFC;INDIA;IND;1;I League;Chennaiyin FC;Carlos Daniel Salom;Ciudad de Corrientes ;04/04/1987;DEL;['Sacachispas (ARG)', 'Rayo Vallecano (ESP)', 'Barracas Central. (ARG)', 'Nueva Chicago (ARG)', 'Cienciano (PER)', 'Barracas Central. (ARG)', 'Olimpo de Bahía Blanca (ARG)', 'All Boys (ARG)', 'Concepción (CHL)', 'Union Española (CHL)', 'Puebla (MEX)', 'Bangkok United (THA)', 'Chennaiyin FC (IND)']
44;AFC;INDIA;IND;1;Super League;Gokulam Kerala;Fabricio Esteban Ortiz;Casilda, Santa Fe ;17/03/1990;DEF;['Velez (ARG)', 'Misano (ITA)', 'Aprendices Casildenses (ARG)', 'Alumni de Casilda (ARG)', 'Jacksonville Armada (USA)', 'Fort Lauderdale Strickers II (USA)', 'Union Deportiva Casilda (ARG)', 'Shabab Al Aqaba (JOR)', 'Gokulam Kerala (IND)']
45;AFC;INDONESIA;IDN;1; Liga 1;Barito Putera;Matias Jesus Cordoba;Lanus, Buenos Aires ;10/07/1984;VOL;['Argentinos Juniors (ARG)', 'Arsenal (ARG)', 'Argentinos Juniors (ARG)', 'Tigre (ARG)', 'Real Salt Lake (USA)', 'Argentinos Juniors (ARG)', 'Quilmes (ARG)', 'Monagas (VEN)', 'San Martin de Tucuman (ARG)', 'Atlante (MEX)', 'La Serena (CHL)', 'Perth Glory (AUS)', 'Oriente Petrolero (BOL)', 'Naval (CHL)', 'Alianza (SLV)', 'Penang (MWI)', 'Barito Putera (IDN)']
46;AFC;INDONESIA;IDN;1; Liga 1;Borneo FC Samarinda;Matías Conti;Reconquista, Santa Fe ;17/01/1990;DEL;['Vélez (ARG)', 'Deportivo Merlo (ARG)', 'Tristán Suárez (ARG)', 'Pahang (MWI)', 'Universidad de Concepcion (CHL)', 'Estudiantes de San Luis (ARG)', 'Borneo FC Samarinda (IDN)']
47;AFC;INDONESIA;IDN;1; Liga 1;Persebaya Surubaya;Robertino Pugliara;Ciudad de Buenos Aires ;21/02/1984;VOL;['San Lorenzo (ARG)', 'Talleres de Córdoba (ARG)', 'Persija Jakarta (IND)', 'Persiba Balikpapan (IND)', 'Persija Jakarta (IND)', 'PSM Makassar (IND)', 'Persipura Jayapura (IND)', 'Persib Bandung (IND)', 'Persipura Jayupara (IND)', 'Pune City (IND)', 'Persebaya Surubaya (IDN)']
48;AFC;INDONESIA;IDN;1; Liga 1;Persib Bandung;Jonatan Jesus Bauman;Sunchales, Santa Fe ;30/03/1991;DEL;['Colon de Santa Fe (ARG)', 'Patronato (ARG)', 'Deportivo Armenio (ARG)', 'Santiago Morning (CHL)', 'Gimnasia Jujuy (ARG)', 'Tiro Federal de Rosario (ARG)', 'Instituto (ARG)', 'Union Sunchales (ARG)', 'Guillermo Brown de Puerto Madryn (ARG)', 'Kerkyra (GRC)', 'Persib Bandung (IDN)']
49;AFC;INDONESIA;IDN;1; Liga 1;Srivijaya FC;Esteban Gabriel Vizcarra;Escobar, Buenos Aires ;04/11/1986;VOL;['Lanús (ARG)', 'Huracán (ARG)', 'Huracán de Tres Arroyos (ARG)', 'Douglas Haig (ARG)', 'Pelita Jaya (IND)', 'Persib (IND)', 'PS Semen Padang (IND)', 'Arema Crommus (IND)', 'Srivijaya FC (IDN)']
50;AFC;JAPON;JPN;2;J2 League;FC Gifu;Ezequiel Naim Ham;Ciudad de Buenos Aires ;03/10/1994;VOL;['Argentinos Juniors (ARG)', 'FC Gifu (JPN)']
51;AFC;JAPON;JPN;2;J2 League;JEF United Chiba;Joaquín Oscar Larrivey;Gualeguay, Entre Rios ;20/08/1984;DEL;['Huracán (ARG)', 'Cagliari (ITA)', 'Vélez (ARG)', 'Cagliari (ITA)', 'Colón de Santa Fe (ARG)', 'Cagliari (ITA)', 'Atlante (MEX)', 'Rayo Vallecano (ESP)', 'Celta de Vigo (ESP)', 'Bani Yas (ARE)', 'JEF United Chiba (JPN)']
52;AFC;JAPON;JPN;2;J2 League;JEF United Chiba;Diego Matias Rodriguez;Ciudad de Buenos Aires ;25/06/1989;ARQ;['Independiente (ARG)', 'Rosario Central (ARG)', 'JEF United Chiba (JPN)']
53;AFC;KUWAIT;KWT;2;Division One;Al Yarmouk;Nicolás Di Biase;Ciudad de Buenos Aires ;12/09/1988;DEF;['Boca (ARG)', 'Langreo (ESP)', 'Los Llanos (ESP)', 'Castel Di Sangro (ITA)', 'San Telmo (ARG)', 'Puertollano (ESP)', 'Zamora (ESP)', 'Conquense (ESP)', 'Lucena (ESP)', 'Blooming (BOL)', 'FC Edmonton (CAN)', 'Al Yarmouk (KWT)']
54;AFC;LIBANO;LBN;2;2e Division;Al Shabab Al Arabi Beirut;Lucas Matías Galán;Ciudad de Mendoza ;22/06/1988;DEL;['Godoy Cruz (ARG)', 'Leopoldo Murialdo (ARG)', 'Racing (ARG)', 'Godoy Cruz (ARG)', 'Gimnasia de Mendoza (ARG)', 'Alianza de San Juan (ARG)', 'Peñarol de San Juan (ARG)', 'Coatepeque (GUF)', 'Kallithea (GRC)', 'Salam Zgharta (LBN)', 'Al Ansar (LBN)', 'Al Ta´ee (SAU)', 'Platense (ARG)', 'Al Shabab Al Arabi Beirut (LBN)']
55;AFC;MALASIA;MYS;1;Super League;Johor Darul Takzim;Gonzalo Gabriel Cabrera;Ciudad de Buenos Aires ;15/01/1989;VOL;['Boca (ARG)', 'Doxa (CYP)', 'AEK Larnaca (CYP)', 'Godoy Cruz (ARG)', 'Once Caldas (COL)', 'Godoy Cruz (ARG)', 'Defensa y Justicia (ARG)', 'Al Faisaly (SAU)', 'Johor Darul Takzim (MYS)']
56;AFC;MALASIA;MYS;1;Super League;Johor Darul Takzim;Fernando Andres Marquez;Ciudad de Santa Fe ;12/10/1987;DEL;['Union de Santa Fe (ARG)', 'Crucero del Norte (ARG)', 'Belgrano de Cordoba (ARG)', 'Defensa y Justicia (ARG)', 'Johor Darul Takzim (MYS)']
57;AFC;MALASIA;MYS;1;Super League;Negeri Sembilan ;Nicolás Leandro Vélez;Ciudad de Buenos Aires ;07/04/1990;VOL;['Huracán (ARG)', 'Atlético Sanluqueño (ESP)', 'Warriors (SGP)', 'North East United (IND)', 'Hajduk Split (HRV)', 'North East United (IND)', 'Suphanburi (THA)', 'Negeri Sembilan  (MYS)']
58;AFC;MALASIA;MYS;2;Premier League;Johor II;Nicolás Alberto Fernández;Mar del Plata, Buenos Aires ;17/12/1986;DEL;['Banfield (ARG)', 'Lanús (ARG)', 'Deportivo Norte (ARG)', 'Aldosivi (ARG)', 'Olimpo de Bahia Blanca (ARG)', 'Mallorca B (ESP)', 'Jumilla (ESP)', 'Pinatar (ESP)', 'Lorca (ESP)', 'La Hoya Lorca (ESP)', 'Asteras Tripolis (GRC)', 'Johor II (MYS)']
59;AFC;OMAN;OMN;1;Professional League;Al Salam;Gaston Costas;Avellaneda, Buenos Aires ;20/01/1995;DEF;['El Porvenir (ARG)', 'Social Madariaga (ARG)', 'Textafabrica (MOZ)', 'Al Salam (OMN)']
