id_jugador;confederacion;pais;pais_iso_3;categoria;liga;equipo;nombre;ciudad_nacimiento;fecha_nacimiento;puesto;trayectoria
719;CONMEBOL;CHILE;CHL;2;Primera B;Cobresal;Sebastian Alberto López;San Nicolas, Buenos Aires ;14/09/1985;ARQ;['Banfield (ARG)', 'Antofagasta (CHL)', 'Temuco (CHL)', 'Uniautonoma (COL)', 'Jaguares de Cordoba (COL)', 'Cobresal (CHL)']
720;CONMEBOL;CHILE;CHL;2;Primera B;Cobresal;Juan Muriel Orlando;Conesa, Buenos Aires ;18/03/1989;DEL;['Huracán (ARG)', 'CNI (PER)', 'Huracán (ARG)', 'Johor B (MWI)', 'Leon de Huánuco (PER)', 'Rampla Juniors (URY)', 'Copiapo (CHL)', 'Atofagasta (CHL)', 'Cobresal (CHL)']
721;CONMEBOL;CHILE;CHL;2;Primera B;Cobresal;Alexander Leonel Corro;Ciudad de Buenos Aires ;27/01/1988;VOL;['Atlanta (ARG)', 'Arsenal (ARG)', 'Atlanta (ARG)', 'Deportivo Merlo (ARG)', 'Unión Magdalena (COL)', 'Cobreloa (CHL)', 'Sarmiento de Junín (ARG)', 'Quindío (COL)', 'El Tanque Sisley (URY)', 'Comunicaciones (ARG)', 'Libertad de Sunchales (ARG)', 'San Lorenzo de Alem (ARG)', 'Cobresal (CHL)']
722;CONMEBOL;CHILE;CHL;2;Primera B;Copiapo;Eduardo Raul Pucheta;San Nicolas, Buenos Aires ;21/06/1992;DEL;['Vélez (ARG)', 'Celta B (ESP)', 'Copiapo (CHL)']
723;CONMEBOL;CHILE;CHL;2;Primera B;Copiapo;Juan Miguel Jaime;Monteros, Tucuman ;01/01/1993;VOL;['Lanus (ARG)', 'Douglas Haig (ARG)', 'Lanus (ARG)', 'Talleres de Remedios de Escalada (ARG)', 'Copiapo (CHL)']
724;CONMEBOL;CHILE;CHL;2;Primera B;Copiapo;German Nicolas Estigarribia;Ciudad de Formosa ;03/06/1997;VOL;['Lanus (ARG)', 'Antofagasta (CHL)', 'Copiapo (CHL)']
725;CONMEBOL;CHILE;CHL;2;Primera B;Copiapo;Nicolas Sadoval;;27/11/1998;VOL;['Antofagasta (CHL)', 'Copiapo (CHL)']
726;CONMEBOL;CHILE;CHL;2;Primera B;Coquimbo;Rodrigo Julian Holgado;Ciudad de Buenos Aires ;28/06/1995;VOL;['San Lorenzo (ARG)', 'Orizaba (MEX)', 'Veracruz (MEX)', 'Coquimbo (CHL)']
727;CONMEBOL;CHILE;CHL;2;Primera B;Coquimbo;Brian Federico Ferreira;Ciudad de Buenos Aires ;24/05/1994;VOL;['Velez (ARG)', 'Olimpo de Bahia Blanca (ARG)', 'Independiente (ARG)', 'Johor Darul Tarzam (MWI)', 'Fuerza Amarilla (ECU)', 'Coquimbo (CHL)']
728;CONMEBOL;CHILE;CHL;2;Primera B;Coquimbo;Sebastian Alejandro Martelli;Caseros, Buenos Aires ;13/03/1996;VOL;['Velez (ARG)', 'Veracruz (MEX)', 'Lobos BUAP (MEX)', 'Velez (ARG)', 'Temperley (ARG)', 'Coquimbo (CHL)']
729;CONMEBOL;CHILE;CHL;2;Primera B;Coquimbo;Mauricio Jose Yedro;Las Rosas, Santa Fe ;02/10/1987;VOL;['Gimnasia LP (ARG)', 'Defensa y Justicia (ARG)', 'Montevideo Wanderers (URY)', 'Gimnasia LP (ARG)', 'Gimnasia de Jujuy (ARG)', 'Santiago Morning (CHL)', 'Huachipato (CHL)', 'Iquique (CHL)', 'Santiago Morning (CHL)', 'Fuerza Amarilla (ECU)', 'Coquimbo (CHL)']
730;CONMEBOL;CHILE;CHL;2;Primera B;Coquimbo;Matías Nicolas Cano;Adrogue, Buenos Aires ;20/04/1986;ARQ;['Temperley (ARG)', 'Huracan de Comodoro Rivadavia (ARG)', 'UAI Urquiza (ARG)', 'San Luis Quillota (CHL)', 'Crucero del Norte (ARG)', 'Coquimbo (CHL)']
731;CONMEBOL;CHILE;CHL;2;Primera B;Coquimbo;Nicolas Berardo;San Basilio, Cordoba ;26/07/1990;DEF;['Argentinos Jrs (ARG)', 'Union Española (CHL)', 'Coquimbo (CHL)']
732;CONMEBOL;CHILE;CHL;2;Primera B;Deportes Melipilla;Jonathan Ezequiel Perez;General Alvear, Mendoza ;24/09/1987;VOL;['Independiente Rivadavia (ARG)', 'Juventud Unida de Gualeguaychu (ARG)', 'Independiente Rivadavia (ARG)', 'Deportes Tolima (COL)', 'Independiente Rivadavia (ARG)', 'Ferro (ARG)', 'Defensores de Belgrano (ARG)', 'Deportes Melipilla (CHL)']
733;CONMEBOL;CHILE;CHL;2;Primera B;Deportes Melipilla;Jorge Sotomayor;Munro, Buenos Aires ;29/03/1988;DEF;['River (ARG)', 'La Serena (CHL)', 'Fortaleza (BRA)', 'Colegiales (ARG)', 'Antofagasta (CHL)', 'Colegiales (ARG)', 'Union San Felipe (CHL)', 'Rangers (CHL)', 'Deportes Melipilla (CHL)']
734;CONMEBOL;CHILE;CHL;2;Primera B;Deportes Valdivia;Nahuel Donadell;Ciudad de Mendoza ;30/03/1991;VOL;['Unión Española (CHL)', 'Pueto Montt (CHL)', 'Valdivia (CHL)', 'San Antonio (CHL)', 'Deportes Valdivia (CHL)']
735;CONMEBOL;CHILE;CHL;2;Primera B;Deportes Valdivia;Gustavo Martin Lanaro;Villa Regina, Rio Negro ;21/03/1986;DEL;['San Telmo (ARG)', 'Lugano (ARG)', 'General Lamadrid (ARG)', 'Grupo Universitario de Tandil (ARG)', 'General. Lamadrid (ARG)', 'Union San Felipe (CHL)', 'Coquimbo Unido (CHL)', 'Deportes Valdivia (CHL)']
736;CONMEBOL;CHILE;CHL;2;Primera B;La Serena;Marcos Sebastián Pol;Tunuyan, Mendoza ;14/03/1988;DEL;['Cartaginés (CRI)', 'Dacia Moevini (ROU)', 'Jorge Newbery Aguilares (ARG)', 'San Jorge Tucuman (ARG)', 'Guabirá (BOL)', 'Real Potosí (BOL)', 'Cobreloa (CHL)', 'Santiago Wanderers (CHL)', 'Audax Italiano (CHL)', 'San Marcos Arica (CHL)', 'Audax Italiano (CHL)', 'Coquimbo Unido (CHL)', 'Huracan Las Heras (ARG)', 'La Serena (CHL)']
737;CONMEBOL;CHILE;CHL;2;Primera B;La Serena;Sergio Maximiliano Ojeda;Ciudad de Cordoba ;01/04/1992;DEF;['Independiente (ARG)', 'Gimnasia de Jujuy (ARG)', 'Olimpo de Bahia Blanca (ARG)', 'Independiente (ARG)', 'La Serena (CHL)']
738;CONMEBOL;CHILE;CHL;2;Primera B;La Serena;Lucas Cano;Ciudad de Buenos Aires ;05/09/1995;DEL;['Argentinos Jrs (ARG)', 'Felda United (MWI)', 'La Serena (CHL)']
739;CONMEBOL;CHILE;CHL;2;Primera B;Magallanes;Jose Luis Garcia;Isidro Casanova, Buenos Aires ;18/04/1985;VOL;['San Lorenzo (ARG)', 'Olimpo de Bahia Blanca (ARG)', 'Morelia (MEX)', 'Universidad (CHL)', 'Sportivo Luqueño (PRY)', 'Municipal Liberia (CRI)', 'FC Timisoara (ROU)', 'Gloria Buzau (ROU)', 'Almirante Brown (ARG)', 'Rosario Central (ARG)', 'Almirante Brown (ARG)', 'Patronato (ARG)', 'Instituto (ARG)', 'Magallanes (CHL)']
740;CONMEBOL;CHILE;CHL;2;Primera B;Magallanes;Gonzalo Ariel Sosa;Ciudad de Santa Fe ;04/10/1990;VOL;['Atlanta (ARG)', 'Barracas Central (ARG)', 'Sportivo Italiano (ARG)', 'Gimnasia de Concepcion del Uruguay (ARG)', 'Guarani Antonio Franco (ARG)', 'Gimnasia de Concepcion del Uruguay (ARG)', 'Magallanes (CHL)']
741;CONMEBOL;CHILE;CHL;2;Primera B;Magallanes;Brayan Raul Ayetz;Ciudad de Mendoza ;14/06/1997;DEF;['Godoy Cruz (ARG)', 'Magallanes (CHL)']
742;CONMEBOL;CHILE;CHL;2;Primera B;Magallanes;Daniel Alberto Dip;Mar del Plata, Buenos Aires ;11/01/1993;DEL;['Aldosivi (ARG)', 'San Martin de Tucuman (ARG)', 'Magallanes (CHL)']
743;CONMEBOL;CHILE;CHL;2;Primera B;Ñublense;Emiliano Humberto Pedreira;Ciudad de Buenos Aires ;11/05/1985;DEF;['Racing de Santander (ESP)', 'Los Barrios (ESP)', 'Almeria B (ESP)', 'Acassuso (ARG)', 'Ñublense (CHL)']
744;CONMEBOL;CHILE;CHL;2;Primera B;Ñublense;Matias Nicolas Arrua;Mar del Plata, Buenos Aires ;16/04/1983;DEL;['Quilmes de Mar del Plata (ARG)', 'Alvarado (ARG)', 'Amigos Unidos (ARG)', 'Cadetes de San Martin (ARG)', 'Union de Santa Fe (ARG)', 'Union de Mar del Plata (ARG)', 'Boca de Rio Gallegos (ARG)', 'Union de Sunchales (ARG)', 'Curico (CHL)', 'Temuco (CHL)', 'Union La Calera (CHL)', 'San Marcos Arica (CHL)', 'Ñublense (CHL)']
745;CONMEBOL;CHILE;CHL;2;Primera B;Ñublense;Martín Molini;Ciudad de Neuquen ;20/05/1995;DEL;['Patagonia (ARG)', 'Huachipato (CHL)', 'Ñublense (CHL)']
746;CONMEBOL;CHILE;CHL;2;Primera B;Ñublense;Federico Joel Mateos;;28/03/1993;VOL;['Boca (ARG)', 'Tigre (ARG)', 'Colegiales (ARG)', 'San Telmo (ARG)', 'Ñublense (CHL)']
747;CONMEBOL;CHILE;CHL;2;Primera B;Ñublense;Alejandro Fiorina;Rosario, Santa Fe ;03/11/1988;DEL;['Estudiantes LP (ARG)', 'Central Córdoba de Rosario (ARG)', 'Comercial (BRA)', 'Central Cordoba de Rosario (ARG)', 'San Luis (CHL)', 'Coquimbo Unido (CHL)', 'San Luis Quillota (CHL)', 'Ñublense (CHL)']
748;CONMEBOL;CHILE;CHL;2;Primera B;Ñublense;Nicolas Emanuel Croce;"Cañada de Gomez; Santa Fe ";22/07/1985;VOL;['Tiro Federal de Rosario (ARG)', 'Instituto (ARG)', 'Tiro Federal de Rosario (ARG)', 'Aragua (VEN)', 'Tiro Federal de Rosario (ARG)', 'Ñublense (CHL)', 'Sportivo Las Parejas (ARG)', 'Ñublense (CHL)']
749;CONMEBOL;CHILE;CHL;2;Primera B;Puerto Montt;Fabian Gustavo Moyano;Ciudad de Mendoza ;01/02/1986;ARQ;['Boca (ARG)', 'Lanus (ARG)', 'Atlanta (ARG)', 'Lanus (ARG)', 'San Luis (CHL)', 'Lota (CHL)', 'Iberia (CHL)', 'Puerto Montt (CHL)']
750;CONMEBOL;CHILE;CHL;2;Primera B;Puerto Montt;Nicolas Servetto;Macachin, La Pampa ;27/03/1996;DEL;['Velez (ARG)', 'Brown de Adrogue (ARG)', 'Puerto Montt (CHL)']
751;CONMEBOL;CHILE;CHL;2;Primera B;Puerto Montt;Hernan Albano Becica;Villa Maria, Cordoba ;31/07/1985;VOL;['Racing de Cordoba (ARG)', 'Los Andes (ARG)', 'Defensores de Belgrano (ARG)', 'Racing de Cordoba (ARG)', 'Talleres de Cordoba (ARG)', 'San Martin de Tucuman (ARG)', 'Atletico Tucuman (ARG)', 'Tristan Suarez (ARG)', 'Mitre de Santiago del Estero (ARG)', 'La Serena (CHL)', 'Puerto Montt (CHL)']
752;CONMEBOL;CHILE;CHL;2;Primera B;Rangers;Alejandro Alfredo Delfino;9 de Julio, Buenos Aires ;18/09/1989;DEF;['Banfield (ARG)', 'Antofagasta (CHL)', 'Rangers (CHL)']
753;CONMEBOL;CHILE;CHL;2;Primera B;Rangers;Jose Pablo Soda;Jesus Maria, Cordoba ;21/10/1994;DEL;['Instituto (ARG)', 'Antofagasta (CHL)', 'Rangers (CHL)']
754;CONMEBOL;CHILE;CHL;2;Primera B;Rangers;Yair Ivan Bonnin;Villa Elisa, Entre Rios ;20/09/1990;ARQ;['Gimnasia LP (ARG)', 'Atletico Parana (ARG)', 'Gimnasia LP (ARG)', 'Rangers (CHL)']
755;CONMEBOL;CHILE;CHL;2;Primera B;San Marcos Arica;Juan Oviedo Acuña;Ciudad de Cordoba ;30/04/1993;DEL;['San Marcos Arica (CHL)', 'Ñublense (CHL)', 'San Marcos Arica (CHL)']
756;CONMEBOL;CHILE;CHL;2;Primera B;San Marcos Arica;Nicolas Aldo Peranic;Ituzaingo, Buenos Aires ;02/06/1985;ARQ;['Flandria (ARG)', 'Acasusso (ARG)', 'General Lamadrid (ARG)', 'J.J.Urquiza (ARG)', 'Defensores Unidos de Zarate (ARG)', 'Almagro (ARG)', 'Defensores Unidos de Zarate (ARG)', 'Almagro (ARG)', 'Magallanes (CHL)', 'Sportivo Italiano (ARG)', 'San Marcos Arica (CHL)']
757;CONMEBOL;CHILE;CHL;2;Primera B;San Marcos Arica;Jorge Matias Jaime;San Nicolas, Buenos Aires ;20/01/1991;VOL;['Independiente (ARG)', 'All Boys (ARG)', 'Alianza Atletico (PER)', 'Estudiantes de Buenos Aires (ARG)', 'San Marcos Arica (CHL)']
758;CONMEBOL;CHILE;CHL;2;Primera B;San Marcos Arica;Alexis Vega;Piedra Blanca, Catamarca ;08/03/1990;VOL;['Atletico Policial (ARG)', 'Mitre de Santiago del Estero (ARG)', 'Atletico Policial (ARG)', 'Union Aconquija (ARG)', 'San Marcos Arica (CHL)']
759;CONMEBOL;CHILE;CHL;2;Primera B;Santiago Morning;Oscar Horacio Ortega;Berabevu, Santa Fe ;05/03/1990;DEL;['Newell´s (ARG)', '9 de Julio de Baraveru (ARG)', 'Santiago Morning (CHL)', 'Deportes Temuco (CHL)', 'Santiago Morning (CHL)']
760;CONMEBOL;CHILE;CHL;2;Primera B;Santiago Morning;Jonathan Joel Rodriguez;Marcos Juarez, Cordoba ;30/03/1994;DEL;['Velez (ARG)', 'Argentinos Jrs (ARG)', 'Lobos BUAP (MEX)', 'Chacarita (ARG)', 'PAS Giannina (GRC)', 'Santiago Morning (CHL)']
761;CONMEBOL;CHILE;CHL;2;Primera B;Santiago Morning;Ryduan Palermo;La Plata, Buenos Aires ;24/07/1996;DEL;['Estudiantes LP (ARG)', 'Arsenal (ARG)', 'Santiago Morning (CHL)']
762;CONMEBOL;CHILE;CHL;2;Primera B;Santiago Morning;David Jonathan Escalante;Tres Isletas, Chaco ;21/05/1991;VOL;['Independiente (ARG)', 'San Telmo (ARG)', 'Santiago Morning (CHL)', 'Barnechea (CHL)', 'Santiago Morning (CHL)']
763;CONMEBOL;CHILE;CHL;2;Primera B;Santiago Wanderers;Ezequiel Esteban Luna;Villa Gobernador Galvez, Santa Fe ;19/11/1986;DEF;['Tiro Federal de Rosario (ARG)', 'Atlético Tucumán (ARG)', 'Tenerife (ESP)', 'Liga Deportiva Universitaria de Quito (ECU)', 'Santiago Wanderers (CHL)', 'Palestino (CHL)', 'Santiago Wanderers (CHL)']
764;CONMEBOL;CHILE;CHL;2;Primera B;Santiago Wanderers;Rafael Armando Viotti;Ciudad de Buenos Aires ;15/02/1988;DEL;['Argentinos Jrs (ARG)', 'Aldosivi (ARG)', 'San Telmo (ARG)', 'Tristan Suarez (ARG)', 'San Luis (CHL)', 'Everton (CHL)', 'La Serena (CHL)', 'Union La Calera (CHL)', 'Santiago Wanderers (CHL)']
765;CONMEBOL;CHILE;CHL;2;Primera B;Santiago Wanderers;Enzo Hernan Gutierrez;Charata, Chaco ;28/05/1986;DEL;['Boca (ARG)', 'Universidad San Martin de Porres (PER)', 'Rangers (CHL)', 'Maritimo (PRT)', 'Rangers (CHL)', 'O´Higgins (CHL)', 'Universidad (CHL)', 'Palestino (CHL)', 'Millonarios (COL)', 'Santiago Wanderers (CHL)']
766;CONMEBOL;CHILE;CHL;2;Primera B;Union San Felipe;Federico Gabriel Marcucci;Ciudad de Buenos Aires ;13/01/1994;VOL;['Velez (ARG)', 'Fenix (ARG)', 'Comunicaciones (ARG)', 'Union San Felipe (CHL)']
767;CONMEBOL;CHILE;CHL;2;Primera B;Union San Felipe;Ariel Emanuel Pio;Baradero, Buenos Aires ;11/04/1988;VOL;['Banfield (ARG)', 'Tigre (ARG)', 'Deportivo Moron (ARG)', 'Atletico Baradero (ARG)', 'Defensores Unidos de Zarate (ARG)', 'Atletico Baradero (ARG)', 'Union San Felipe (CHL)']
768;CONMEBOL;CHILE;CHL;2;Primera B;Union San Felipe;Franco Javier Caballero;Chimbas, San Juan ;03/07/1993;DEL;['San Martin de San Juan (ARG)', 'Acassuso (ARG)', 'Peñarol de Chimbas (ARG)', 'Trinidad (ARG)', 'Almirante Brown (ARG)', 'Acassuso (ARG)', 'Union San Felipe (CHL)']
769;CONMEBOL;CHILE;CHL;2;Primera B;Union San Felipe;Gustavo Gotti;Ciudad de Cordoba ;20/10/1993;DEL;['Instituto (ARG)', 'Las Palmas de Cordoba (ARG)', 'Instituto (ARG)', 'O´Higgins (CHL)', 'Deportes Temuco (CHL)', 'Union San Felipe (CHL)']
770;CONMEBOL;CHILE;CHL;2;Primera B;Union San Felipe;Ricardo Sebastian Riquelme;San Fernando, Buenos Aires ;28/09/1996;VOL;['Argentinos Jrs (ARG)', 'Danubio (URY)', 'Argentinos Jrs (ARG)', 'Union San Felipe (CHL)']
771;CONMEBOL;CHILE;CHL;3;Segunda Division;Colchagua;Ramiro Lazarte;Monte Buey, Cordoba ;;VOL;['Argentinos Jrs (ARG)', 'Colchagua (CHL)']
772;CONMEBOL;CHILE;CHL;3;Segunda Division;Colchagua;Alexis Javier Olima;;;DEF;['Estrella Norte de Caleta Oliva (ARG)', 'Comision de Actividades Infantiles (ARG)', 'Colchagua (CHL)']
773;CONMEBOL;CHILE;CHL;3;Segunda Division;Colchagua;Agustin Ezequiel Meloño;Ciudad de Buenos Aires ;02/04/1999;DEL;['Boca (ARG)', 'Racing (ARG)', 'Gualaceo (ECU)', 'Colchagua (CHL)']
774;CONMEBOL;CHILE;CHL;3;Segunda Division;Colchagua;Bruno Julian Benitez;;;;"['Chacarita (ARG)', '""Liga Rosario"" (ARG)', 'Colchagua (CHL)']"
775;CONMEBOL;CHILE;CHL;3;Segunda Division;Deportes Santa Cruz;Mauro Nicolas Aguirre;Ciudad de San Luis ;21/04/1990;VOL;['Juventud Unida Universitario (ARG)', 'Iberia (CHL)', 'Coquimbo Unido (CHL)', 'Iberia (CHL)', 'Deportes Santa Cruz (CHL)']
776;CONMEBOL;CHILE;CHL;3;Segunda Division;Deportes Vallenar;Eduardo Anibal Domeneghini;Ciudad de Buenos Aires ;15/03/1985;VOL;['San Lorenzo (ARG)', 'Deportivo Merlo (ARG)', 'Lanus (ARG)', 'Olimpia (PRY)', 'Comunicaciones (ARG)', 'Union San Felipe (CHL)', 'Union Española (CHL)', 'Cobreloa (CHL)', 'Deportes Concepcion (CHL)', 'Union Magdalena (COL)', 'Los Andes (ARG)', 'La Serena (CHL)', 'Puerto Montt (CHL)', 'Universitario de Sucre (BOL)', 'Provincial de Empalme Lobos (ARG)', 'Deportes Vallenar (CHL)']
777;CONMEBOL;CHILE;CHL;3;Segunda Division;General Velazquez;Milton Oscar Alegre;Alcorta, Santa Fe ;14/10/1991;DEL;['O´Higgins (CHL)', 'Deportes Concepción (CHL)', 'Barnechea (CHL)', 'Malleco Unido (CHL)', 'San Antonio Unido (CHL)', 'Deportes Melipilla (CHL)', 'General Velazquez (CHL)']
778;CONMEBOL;CHILE;CHL;3;Segunda Division;Iberia;Diego Alejandro Ruiz;San Miguel, Tucuman ;19/12/1980;DEL;['Lanus (ARG)', 'San Telmo (ARG)', 'Ñuñorco (ARG)', 'Atletico Tucuman (ARG)', 'Kortrijk (BLR)', 'Cobresal (CHL)', 'Genk (BLR)', 'Huachipato (CHL)', 'Cluj (ROU)', 'Kasimpasa (TUR)', 'Khazar (AZE)', 'Targu Mures (ROU)', 'Antofagasta (CHL)', 'Universidad Concepcion (CHL)', 'Everton (CHL)', 'Iberia (CHL)']
779;CONMEBOL;CHILE;CHL;3;Segunda Division;Independiente de Cauquenes;Marcos Brian Benavidez;;23/03/1993;DEL;['Lujan (ARG)', 'Altas (ARG)', 'Deportes Concepcion (CHL)', 'Trocha (ARG)', 'Union de Curaru (ARG)', 'Independiente de Cauquenes (CHL)']
780;CONMEBOL;CHILE;CHL;3;Segunda Division;Malleco Unido;Lucas Javier Triviño;La Plata, Buenos Aires ;24/04/1992;DEL;['Ñublense (CHL)', 'Trasandino (CHL)', 'Ñublense (CHL)', 'San Antonio Unido (CHL)', 'Ñublense (CHL)', 'Malleco Unido (CHL)']
781;CONMEBOL;CHILE;CHL;5;Tercera Division B;Buenos Aires de Parral;Nicolas Vargas;;;;['Estrella Norte de Caleta Oliva (ARG)', 'Buenos Aires de Parral (CHL)']
782;CONMEBOL;CHILE;CHL;5;Tercera Division B;Caupolican de Cauquenes;Franco Triviño;Rio Gallegos, Santa Cruz ;;VOL;['Boxing Club (ARG)', 'Comision de Actividades Infantiles (ARG)', 'San Lorenzo (ARG)', 'Petroquimica (ARG)', 'San Lorenzo de Perito Moreno (ARG)', 'Caupolican de Cauquenes (CHL)']
783;CONMEBOL;CHILE;CHL;5;Tercera Division B;Caupolican de Cauquenes;Luciano Ezequiel Contreras;Caleta Olivia, Santa Cruz ;10/09/1997;VOL;['Comision de Actividades Infantiles (ARG)', 'Caupolican de Cauquenes (CHL)']
784;CONMEBOL;CHILE;CHL;5;Tercera Division B;Caupolican de Cauquenes;Luciano Ariel Sanhueza;Comodoro Rivadavia, Chubut ;16/11/1996;VOL;['Quilmes (ARG)', 'Huracan de Comodoro Rivadavia (ARG)', '3 de Noviembre (PRY)', 'Olimpia de Ita (PRY)', 'Independiente de Puerto San Julian (ARG)', 'Caupolican de Cauquenes (CHL)']
785;CONMEBOL;CHILE;CHL;5;Tercera Division B;Ferroviarios;Maximiliano Dundo;Chile ;;VOL;['Acassusso (ARG)', 'Ferroviarios (CHL)']
786;CONMEBOL;CHILE;CHL;;J°;Deportes La Serena;Gianluca Riep;;;;['Academia Chacras de Coria (ARG)', 'Deportes La Serena (CHL)']
787;CONMEBOL;CHILE;CHL;;J°;Everton;Andres Valdettaro;;;VOL;['Belgrano de Cordoba (ARG)', 'Everton (CHL)']
788;CONMEBOL;CHILE;CHL;;J°;O`Higgins;Diego Ruben Gonzalez;;;DEF;['Boca (ARG)', 'O`Higgins (CHL)']
789;CONMEBOL;CHILE;CHL;;J°;Palestino;Nicolas Soto;Caleta Olivia, Santa Cruz ;27/09/1999;ARQ;['Sportivo Barracas (ARG)', 'Estrella Norte de Caleta Oliva (ARG)', 'Comision de Actividades Infantiles de Comodoro Rivadavia (ARG)', 'Palestino (CHL)']
790;CONMEBOL;CHILE;CHL;;J°;Puerto Montt;Jeremias Morant;;;DEF;['Huracan de Trelew (ARG)', 'Puerto Montt (CHL)']
791;CONMEBOL;CHILE;CHL;;J°;San Luis Quillota;Joel Alejandro Rodriguez;;;;"['""Liga Independiente"" (ARG)', 'San Luis Quillota (CHL)']"
792;CONMEBOL;CHILE;CHL;;J°;Temuco;Nicolas Bobadilla;;;;['Huracan de Trelew (ARG)', 'Temuco (CHL)']
793;CONMEBOL;CHILE;CHL;;J°;Temuco;Julian Ariel Lawreniuk;;;DEL;['Pacifico (ARG)', 'Temuco (CHL)']
794;CONMEBOL;CHILE;CHL;;J°;Universidad Catolica;Bruno Barticciotto;;;DEL;['Colo Colo  [di[ (CHL)', 'Universidad Catolica (CHL)']
795;CONMEBOL;CHILE;CHL;;J°;Universidad de Chile;Lucio Paulizzi;Ciudad de San Luis ;;DEF;['Universidad Catolica (ARG)', 'Universidad de Chile (CHL)']
796;CONMEBOL;CHILE;CHL;;J°;Universidad de Chile;Tadeo Paulizzi;;;DEL;['Universidad de Chile (CHL)']
797;CONMEBOL;CHILE;CHL;;J°;Union Española;Lucas Caputto Di Leo;San Andres de Giles, Buenos Aires ;31/07/2001;;['Union Española (CHL)']
798;CONMEBOL;ECUADOR;ECU;1;Serie A;Aucas;Ignacio Andres Cacheiro;Junin, Buenos Aires ;03/12/1993;DEL;['Sarmiento de Junin (ARG)', 'Guillermo Brown de Puerto Madryn (ARG)', 'Sarmiento de Junin (ARG)', 'Aucas (ECU)']
799;CONMEBOL;ECUADOR;ECU;1;Serie A;Barcelona;Damián Rodrigo Díaz;Rosario, Santa Fe ;05/01/1986;VOL;['Rosario Central (ARG)', 'Boca (ARG)', 'Universidad Católica (CHL)', 'Colón (ARG)', 'Barcelona (ECU)', 'Al Wahda (ARE)', 'Barcelona (ECU)']
800;CONMEBOL;ECUADOR;ECU;1;Serie A;Barcelona;Ariel Gerardo Nahuelpan;Ciudad de Buenos Aires ;15/10/1987;DEL;['Nueva Chicago (ARG)', 'Curitiba (BRA)', 'Racing (ESP)', 'Liga Deportiva Universitaria de Quito (ECU)', 'Barcelona (ECU)', 'Pumas UNAM (MEX)', 'Pachuca (MEX)', 'Tigre (ARG)', 'Pachuca (MEX)', 'Internacional (BRA)', 'Barcelona (ECU)']
801;CONMEBOL;ECUADOR;ECU;1;Serie A;Barcelona;Juan Ignacio Dinenno;Rosario, Santa Fe ;29/08/1994;DEL;['Racing (ARG)', 'Temperley (ARG)', 'Aldosivi (ARG)', 'Deportivo Cuenca (ECU)', 'Barcelona (ECU)']
802;CONMEBOL;ECUADOR;ECU;1;Serie A;Barcelona;Matías Damian Oyola;Rio Cuarto, Cordoba ;15/10/1982;VOL;['River (ARG)', 'Defensores de Belgrano (ARG)', 'Gimnasia de Jujuy (ARG)', 'River (ARG)', 'Belgrano (ARG)', 'Independiente (ARG)', 'Colón de Santa Fe (ARG)', 'Barcelona (ECU)']
803;CONMEBOL;ECUADOR;ECU;1;Serie A;Delfin;Hernán Ignacio Hechalar;Ciudad de Cordoba ;08/12/1988;VOL;['Belgrano de Córdoba (ARG)', 'Juventud Antoniana (ARG)', 'Guaraní (PRY)', 'Juventud Antoniana (ARG)', 'Unión de Mar del Plata (ARG)', 'Huila (COL)', 'Independiente Medellin (COL)', 'Atletico Tucuman (ARG)', 'Delfin (ECU)']
804;CONMEBOL;ECUADOR;ECU;1;Serie A;Deportivo Cuenca;Emiliano Nicolas Bonfigli;Bahia Blanca, Buenos Aires ;15/04/1988;DEL;['Almagro (ARG)', 'Manta (ECU)', 'Real Salt Lake (USA)', 'San Telmo (ARG)', 'Almagro (ARG)', 'Atlanta (ARG)', 'Zacatepec (MEX)', 'Tampico Madero (MEX)', 'Deportivo Cuenca (ECU)']
805;CONMEBOL;ECUADOR;ECU;1;Serie A;Deportivo Cuenca;Leandro Emmanuel Martinez;Tandil, Buenos Aires ;06/04/1994;DEL;['San Martin de San Juan (ARG)', 'Chacarita (ARG)', 'Deportivo Cuenca (ECU)']
806;CONMEBOL;ECUADOR;ECU;1;Serie A;Deportivo Cuenca;Luca Alexander Sosa;Isidro Casanova, Buenos Aires ;06/11/1994;DEF;['Huracan (ARG)', 'Talleres de Cordoba (ARG)', 'Patronato (ARG)', 'Deportivo Cuenca (ECU)']
807;CONMEBOL;ECUADOR;ECU;1;Serie A;Deportivo Cuenca;Brian Federico Cucco;Rosario, Santa Fe ;22/01/1989;DEF;['Tiro Federal de Rosario (ARG)', 'Aurora (BOL)', 'Real Misano (ITA)', 'Juventud Antonia (ARG)', 'Temperley (ARG)', 'Quilmes (ARG)', 'Union de Santa Fe (ARG)', 'Chacarita (ARG)', 'Deportivo Cuenca (ECU)']
808;CONMEBOL;ECUADOR;ECU;1;Serie A;Emelec;Marcos Gustavo Mondaini;Saenz Peña, Chaco ;14/02/1985;DEL;['Boca (ARG)', 'Emelec (ECU)', 'Boca (ARG)', 'Barcelona (ECU)', 'Nacional (URY)', 'Boca (ARG)', 'Nacional (COL)', 'Chivas USA (USA)', 'Emelec (ECU)']
